epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.728,0.98438,9.694,0.69288,0.83316,1.28512,0.94825,0.92787,0.9778,0.78578,0.29196,0.15394,0.06258,0.00835,0.8145,7.26904,0.59434,0.47879,1.07889,0.00333043,0.00333043,0.00333043
2,301.813,0.87887,7.17754,0.65702,0.61354,1.18907,0.92529,0.91933,0.96657,0.76765,0.76929,0.48235,0.47362,0.1716,0.85749,5.30757,0.47897,0.51058,1.12538,0.0065978,0.0065978,0.0065978
3,437.168,0.93538,6.51389,0.61852,0.67912,1.21563,0.92073,0.88214,0.95205,0.73445,0.80663,0.50134,0.48489,0.23656,0.9199,4.78628,0.40738,0.62554,1.17786,0.00979916,0.00979916,0.00979916
4,599.308,0.97266,6.18898,0.56764,0.7105,1.22672,0.94064,0.92491,0.97365,0.78025,0.78603,0.57997,0.59261,0.3425,0.83015,4.08578,0.29572,0.50671,1.09781,0.009703,0.009703,0.009703
5,767.623,0.92586,5.69967,0.50858,0.66153,1.19868,0.94106,0.91758,0.9699,0.77137,0.79358,0.59118,0.58327,0.34884,0.82429,3.85864,0.26241,0.51202,1.08534,0.009604,0.009604,0.009604
6,935.796,0.89297,5.33526,0.46498,0.62573,1.17547,0.94467,0.94644,0.9778,0.8054,0.78728,0.63531,0.63088,0.42635,0.75822,3.37338,0.20137,0.43969,1.03685,0.009505,0.009505,0.009505
7,1102.37,0.86936,5.1142,0.43308,0.60082,1.16078,0.95289,0.95107,0.98109,0.81158,0.80222,0.65904,0.67174,0.44196,0.76018,3.24156,0.16069,0.4382,1.04503,0.009406,0.009406,0.009406
8,1268.94,0.84983,4.87011,0.41347,0.57942,1.14978,0.95277,0.95376,0.98377,0.8263,0.78633,0.68518,0.68392,0.47707,0.71228,3.07981,0.13041,0.40897,1.01125,0.009307,0.009307,0.009307
9,1438.36,0.83224,4.72494,0.39723,0.5631,1.1389,0.94891,0.95869,0.98191,0.82542,0.80328,0.69261,0.71103,0.49566,0.7357,3.0082,0.12077,0.40149,1.01801,0.009208,0.009208,0.009208
10,1609.14,0.81623,4.60698,0.38611,0.5535,1.13099,0.96594,0.95775,0.98762,0.84493,0.78063,0.6843,0.67607,0.4733,0.68574,3.03696,0.10868,0.37275,0.99446,0.009109,0.009109,0.009109
