epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.906,0.96203,9.5665,0.68419,0.78155,1.32954,0.9358,0.91768,0.96956,0.7696,0.47062,0.28125,0.18622,0.02667,0.85427,6.70625,0.48385,0.51174,1.21873,0.00333043,0.00333043,0.00333043
2,560.465,0.85272,6.93832,0.63387,0.57721,1.22505,0.936,0.8978,0.96048,0.76445,0.71164,0.46209,0.41535,0.19042,0.85411,4.90333,0.39462,0.55435,1.23248,0.00666214,0.00666214,0.00666214
3,907.716,0.91541,6.26722,0.58696,0.64928,1.26533,0.92464,0.91628,0.96814,0.75062,0.74856,0.4965,0.47289,0.2316,0.91048,4.47061,0.29852,0.56104,1.26794,0.00998734,0.00998734,0.00998734
4,1229.2,0.95642,6.00541,0.51815,0.68901,1.28121,0.91798,0.90564,0.9547,0.74603,0.82293,0.60609,0.61976,0.33952,0.87639,3.86609,0.21554,0.56578,1.25168,0.00997803,0.00997803,0.00997803
5,1550.3,0.90828,5.45133,0.4608,0.63663,1.24854,0.94606,0.94852,0.98254,0.79755,0.81584,0.63719,0.65882,0.42264,0.78755,3.36711,0.15522,0.45183,1.15541,0.00996097,0.00996097,0.00996097
6,1762.05,0.87038,5.11754,0.42888,0.59025,1.21939,0.95677,0.95043,0.98097,0.81133,0.79979,0.6614,0.69126,0.46021,0.7789,3.31493,0.13124,0.42961,1.15122,0.00993906,0.00993906,0.00993906
7,1968.67,0.8519,4.88755,0.40535,0.57455,1.20369,0.95402,0.93552,0.97194,0.8131,0.82038,0.66114,0.69484,0.48379,0.74559,3.18738,0.11592,0.45607,1.12589,0.00991232,0.00991232,0.00991232
8,2179.15,0.83145,4.66933,0.39048,0.54925,1.18958,0.94752,0.94953,0.98124,0.81643,0.82804,0.67848,0.70727,0.49416,0.73425,2.99297,0.11727,0.41526,1.12267,0.00988079,0.00988079,0.00988079
9,2391.08,0.81264,4.50468,0.37771,0.53647,1.18026,0.96026,0.9517,0.98399,0.83139,0.81995,0.72136,0.73379,0.5236,0.68992,2.797,0.09079,0.39401,1.08807,0.00984449,0.00984449,0.00984449
10,2608.52,0.79314,4.33023,0.3672,0.52116,1.16666,0.95079,0.96037,0.98494,0.83508,0.74365,0.66994,0.60088,0.41273,0.68272,3.13154,0.08926,0.37925,1.07849,0.00980345,0.00980345,0.00980345
11,2824.9,0.78067,4.22869,0.36242,0.51232,1.15618,0.95809,0.95884,0.98474,0.83702,0.84864,0.72596,0.76981,0.5639,0.69927,2.66533,0.08346,0.38026,1.07969,0.00975773,0.00975773,0.00975773
12,3031.14,0.77462,4.14893,0.35618,0.50624,1.15517,0.95852,0.96882,0.9881,0.84474,0.81077,0.73659,0.73648,0.54349,0.67266,2.65952,0.08006,0.36443,1.06601,0.00970736,0.00970736,0.00970736
13,3230.07,0.76773,4.08542,0.34744,0.49898,1.15242,0.95986,0.97388,0.98864,0.85861,0.82635,0.75838,0.77225,0.58702,0.64293,2.49385,0.07441,0.34597,1.04007,0.00965239,0.00965239,0.00965239
14,3433.7,0.75168,3.95594,0.34336,0.48547,1.14298,0.96564,0.96457,0.98921,0.86044,0.84093,0.76736,0.78703,0.60198,0.64088,2.42928,0.07343,0.34622,1.04128,0.00959289,0.00959289,0.00959289
15,3671.01,0.75429,3.88819,0.33599,0.48359,1.14201,0.96418,0.96733,0.98886,0.8556,0.82901,0.76738,0.76693,0.5811,0.64156,2.46566,0.07131,0.34209,1.03974,0.00952889,0.00952889,0.00952889
